Country,Year,Age Group,,No Schooling,Primary Total,Primary Completed,Secondary Total,Secondary Completed,Tertiary Total,Tertiary Completed,Avg. Years of Total Schooling,Avg. Years of Primary Schooling,Avg. Years of Secondary Schooling,Avg. Years of Tertiary Schooling,"Population
(1000s)",Region
Denmark,1950,15,64,2.44,57.94,36.24,36.3,12.26,3.33,1.93,5.626,3.469,2.052,0.105,2757,Advanced Economies
,1955,15,64,2.93,73.87,46.63,17.74,5.84,5.45,3.22,4.778,3.338,1.267,0.173,2828,Advanced Economies
,1960,15,64,2.82,65.71,41.54,25.19,8.27,6.27,3.69,5.297,3.404,1.695,0.199,2940,Advanced Economies
,1965,15,64,2.54,55.26,36.43,34.03,11.86,8.17,4.5,6.064,3.522,2.289,0.253,3087,Advanced Economies
,1970,15,64,1.37,45.85,31.25,41.6,16.93,11.18,5.9,7.19,4.003,2.846,0.342,3176,Advanced Economies
,1975,15,64,1.83,36.34,24.94,49.59,21.35,12.23,6.98,8.01,4.368,3.258,0.384,3240,Advanced Economies
,1980,15,64,2.27,27.69,19.38,55.96,25.79,14.06,8.12,8.847,4.736,3.667,0.444,3318,Advanced Economies
,1985,15,64,2.52,22.27,15.8,57.18,27.84,18.03,10.38,9.594,5.074,3.951,0.568,3399,Advanced Economies
,1990,15,64,0.12,14.91,10.75,67.72,36.42,17.25,11.07,10.48,5.453,4.461,0.566,3463,Advanced Economies
,1995,15,64,0.12,9.93,7.36,70.52,40.01,19.43,12.45,11.04,5.656,4.746,0.638,3521,Advanced Economies
,2000,15,64,1.29,4.84,3.63,70.75,41.46,23.11,14.18,11.503,5.77,4.986,0.746,3560,Advanced Economies
,2005,15,64,2.35,2.18,1.65,68.62,40.31,26.84,16.91,11.809,5.879,5.055,0.875,3593,Advanced Economies
,2010,15,64,2.9,0.77,0.59,69.03,40.79,27.32,18.04,11.973,6.037,5.028,0.907,3612,Advanced Economies
,2015,15,64,1.45,0.17,0.13,60.06,35.86,38.36,24.68,12.858,6.418,5.179,1.261,3647,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Finland,1950,15,64,1.55,89.45,56.61,5.85,1.17,3.15,1.53,3.908,3.281,0.533,0.094,2540,Advanced Economies
,1955,15,64,0.87,88.59,56.95,6.78,1.32,3.72,1.78,4.063,3.331,0.622,0.11,2646,Advanced Economies
,1960,15,64,0.47,87.02,56.39,8.08,1.64,4.48,2.1,4.25,3.371,0.747,0.132,2764,Advanced Economies
,1965,15,64,0.73,76,52.17,17.88,4.34,5.38,2.57,4.973,3.494,1.32,0.159,2968,Advanced Economies
,1970,15,64,1.11,64.06,45.68,27.33,6.79,7.5,3.48,5.99,3.839,1.931,0.22,3051,Advanced Economies
,1975,15,64,1.2,56.47,40.85,32.47,20.18,9.86,5.15,7.106,4.124,2.681,0.3,3174,Advanced Economies
,1980,15,64,1.05,48.36,35.87,38.92,29.57,11.67,6.27,8.04,4.4,3.281,0.359,3237,Advanced Economies
,1985,15,64,0.79,48.09,36.17,38.61,24.35,12.47,6.94,8.012,4.605,3.019,0.388,3339,Advanced Economies
,1990,15,64,0.1,42.97,32.88,42.53,26.16,14.4,7.8,8.561,4.845,3.273,0.444,3357,Advanced Economies
,1995,15,64,0.26,37.77,30.04,39.65,24.56,22.32,10.95,9.307,5.067,3.574,0.665,3410,Advanced Economies
,2000,15,64,0.33,32.6,26.39,40.98,26.5,26.09,12.8,9.9,5.26,3.862,0.778,3465,Advanced Economies
,2005,15,64,0.28,27.63,22.72,43.44,29.64,28.65,13.36,10.42,5.455,4.124,0.84,3508,Advanced Economies
,2010,15,64,0.29,24.88,20.73,45.01,31.25,29.82,12.93,10.705,5.64,4.21,0.855,3539,Advanced Economies
,2015,15,64,0.42,19.65,16.63,44.43,32.23,35.5,13.78,11.3,5.884,4.43,0.986,3473,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
France,1950,15,64,0.35,88.65,41.56,9.29,2.33,1.68,0.93,4.416,3.804,0.559,0.052,27568,Advanced Economies
,1955,15,64,0.3,87.19,42.24,10.5,2.55,2.01,1.09,4.56,3.861,0.637,0.062,27786,Advanced Economies
,1960,15,64,0.26,89.09,35.39,8.28,3.06,2.42,1.36,4.315,3.647,0.592,0.076,28320,Advanced Economies
,1965,15,64,1.14,83.47,37.2,11.33,4.4,4.06,1.96,4.775,3.786,0.869,0.12,30369,Advanced Economies
,1970,15,64,1.08,75.55,36.6,17.03,6.07,6.33,2.89,5.463,3.972,1.307,0.185,31635,Advanced Economies
,1975,15,64,1,67.38,31.34,23.17,7.83,8.45,3.86,6.049,4.049,1.753,0.246,33003,Advanced Economies
,1980,15,64,0.8,62.59,27.32,27.79,10.43,8.76,4.28,6.373,4.075,2.037,0.261,34351,Advanced Economies
,1985,15,64,4.98,46.63,24.96,37.44,19.33,10.95,4.92,7.37,4.209,2.844,0.317,36403,Advanced Economies
,1990,15,64,5.88,35.09,21.61,45.45,26.42,13.58,6,8.322,4.369,3.561,0.392,37313,Advanced Economies
,1995,15,64,3.34,27.41,19.16,52.3,32.25,16.94,7.25,9.356,4.627,4.245,0.484,37893,Advanced Economies
,2000,15,64,1.75,19.76,15.26,58.27,36.7,20.22,8.69,10.225,4.8,4.847,0.578,38560,Advanced Economies
,2005,15,64,1.2,11.81,9.92,65.26,40.34,21.72,9.74,10.863,4.893,5.341,0.629,39454,Advanced Economies
,2010,15,64,1.17,8.54,7.7,64.01,41.91,26.27,11.73,11.337,4.92,5.657,0.76,40070,Advanced Economies
,2015,15,64,1.44,22.94,19.63,43.87,20.28,31.75,14.18,10.349,4.845,4.585,0.918,40455,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Germany,1950,15,64,5.68,71.41,44.64,20.08,6.25,2.83,1.76,7.206,6.475,0.64,0.092,45877,Advanced Economies
,1955,15,64,2.99,73.17,46.55,20.93,7.22,2.9,1.79,7.469,6.696,0.679,0.094,47903,Advanced Economies
,1960,15,64,2.93,72.74,46.64,21.24,8.58,3.09,1.88,7.541,6.722,0.72,0.099,48936,Advanced Economies
,1965,15,64,2.93,72.75,49.15,21.08,10.09,3.23,1.98,7.5,6.547,0.848,0.104,49092,Advanced Economies
,1970,15,64,5.59,71.59,50.53,19.91,10.55,2.93,1.89,7.101,6.139,0.865,0.096,49316,Advanced Economies
,1975,15,64,6.17,68.9,49.31,19.36,11.73,5.57,3.58,7.172,5.714,1.275,0.183,50069,Advanced Economies
,1980,15,64,6.55,63.23,46.41,23.02,14.76,7.22,4.67,7.358,5.367,1.753,0.238,51604,Advanced Economies
,1985,15,64,5.55,57.68,43.05,28,18.83,8.72,5.63,7.73,5.127,2.317,0.287,53932,Advanced Economies
,1990,15,64,5.17,42.12,31.96,39.29,28.79,13.42,8.15,8.956,4.912,3.612,0.431,54776,Advanced Economies
,1995,15,64,5,29.85,23.6,48.3,36.75,16.85,10.54,9.929,4.674,4.707,0.548,55761,Advanced Economies
,2000,15,64,3.97,23.2,19.21,53.9,42.6,18.93,12.36,10.594,4.463,5.506,0.626,56007,Advanced Economies
,2005,15,64,3.5,6.08,5.28,70.97,53.4,19.42,12.81,11.978,4.191,7.142,0.645,55339,Advanced Economies
,2010,15,64,1.71,4.49,3.96,71.38,56.01,22.42,14.82,12.581,3.921,7.915,0.745,54741,Advanced Economies
,2015,15,64,2.35,6.63,5.78,70.57,54.39,20.49,13.6,12.282,3.891,7.71,0.682,53624,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Greece,1950,15,64,22.75,59.79,21.58,15.85,9.09,1.6,1.37,4.393,3.489,0.845,0.059,4884,Advanced Economies
,1955,15,64,16.5,50.97,22.1,30.81,18.38,1.72,1.39,5.786,4.144,1.579,0.062,5264,Advanced Economies
,1960,15,64,9.81,33.18,16.29,54.8,33.67,2.21,2.03,7.777,4.905,2.787,0.085,5437,Advanced Economies
,1965,15,64,11.49,49.82,28.39,35.68,21.9,3.01,2.12,6.678,4.668,1.908,0.103,5617,Advanced Economies
,1970,15,64,10.38,52.37,33.29,32.29,19.99,4.96,3.25,6.835,4.805,1.866,0.164,5625,Advanced Economies
,1975,15,64,7.66,55.33,38.56,29.78,18.26,7.22,4.86,7.154,5.037,1.875,0.242,5780,Advanced Economies
,1980,15,64,5.13,56.64,43.76,28.44,16.86,9.76,6.81,7.581,5.304,1.945,0.331,6176,Advanced Economies
,1985,15,64,5.09,48.3,39,35.01,26.41,11.6,9.39,8.374,5.415,2.538,0.42,6498,Advanced Economies
,1990,15,64,4.12,40.2,33.86,41.76,38.27,13.92,13.09,9.339,5.563,3.236,0.54,6816,Advanced Economies
,1995,15,64,5.45,31.85,28.48,46.72,33.04,15.98,15.01,9.543,5.572,3.351,0.62,7248,Advanced Economies
,2000,15,64,4.58,27.11,25.31,52.58,36.48,15.73,14.72,9.896,5.671,3.616,0.609,7463,Advanced Economies
,2005,15,64,0.68,24.54,23.72,49.43,34.29,25.35,23.79,10.95,5.935,4.033,0.983,7507,Advanced Economies
,2010,15,64,0.74,20.56,19.94,49.13,34.26,29.56,27.8,11.359,5.936,4.275,1.147,7593,Advanced Economies
,2015,15,64,0.8,17.65,17.14,56.19,33.66,25.4,23.91,11.145,5.939,4.22,0.986,6887,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Iceland,1950,15,64,1,85.36,54.11,10.69,4.41,2.95,1.67,5.799,5.002,0.704,0.092,88,Advanced Economies
,1955,15,64,0.9,83.3,53.55,12.31,5.29,3.48,2,5.987,5.053,0.825,0.11,94,Advanced Economies
,1960,15,64,0.78,79.07,51.17,16.1,6.95,4.06,2.37,6.29,5.116,1.045,0.129,101,Advanced Economies
,1965,15,64,0.64,73.14,49.86,21.22,5.48,5.01,2.83,6.627,5.263,1.206,0.157,110,Advanced Economies
,1970,15,64,0.67,65.97,46.82,26.56,7.99,6.8,3.67,7.187,5.385,1.592,0.209,118,Advanced Economies
,1975,15,64,1.03,59.62,43.03,30.35,9.82,8.99,4.84,7.65,5.44,1.933,0.277,132,Advanced Economies
,1980,15,64,1.18,53.47,39.53,33.66,11.43,11.7,6.4,8.159,5.511,2.286,0.362,143,Advanced Economies
,1985,15,64,1.25,47.14,35.42,37.27,13.2,14.33,8.01,8.67,5.573,2.65,0.447,153,Advanced Economies
,1990,15,64,1.36,41.52,31.67,39.84,14.93,17.28,9.87,9.167,5.623,3.002,0.543,164,Advanced Economies
,1995,15,64,1.33,36.12,28.44,40.51,15.56,22.04,12.76,9.766,5.69,3.381,0.696,172,Advanced Economies
,2000,15,64,1.48,35.22,28.27,44.22,16.74,19.08,12.13,9.658,5.703,3.332,0.624,182,Advanced Economies
,2005,15,64,1.59,35.32,28.91,38.31,15.37,24.79,15.94,10.027,5.713,3.499,0.815,197,Advanced Economies
,2010,15,64,1.99,39.74,32.89,35.53,15.13,22.74,15.03,9.802,5.784,3.262,0.755,206,Advanced Economies
,2015,15,64,2.26,42.79,35.88,31.17,16.83,23.83,15.69,9.931,5.864,3.276,0.79,218,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ireland,1950,15,64,5.2,68.37,43.15,23.07,9.69,3.35,2.2,6.424,4.931,1.381,0.111,1794,Advanced Economies
,1955,15,64,4.54,65.49,41.87,26.24,11.24,3.73,2.47,6.716,5.019,1.573,0.124,1728,Advanced Economies
,1960,15,64,3.99,62.51,40.25,29.48,12.65,4.03,2.67,6.984,5.093,1.757,0.134,1636,Advanced Economies
,1965,15,64,3.41,57.56,39.03,34.92,14.92,4.07,2.69,7.402,5.237,2.03,0.135,1657,Advanced Economies
,1970,15,64,3.26,52.15,36.56,39.25,16.76,5.33,3.63,8.052,5.614,2.258,0.179,1703,Advanced Economies
,1975,15,64,3.29,43.29,30.75,46.19,19.82,7.23,4.95,8.792,5.969,2.579,0.244,1836,Advanced Economies
,1980,15,64,1.88,35.24,25.64,53.03,23.36,9.84,6.8,9.69,6.407,2.95,0.333,1994,Advanced Economies
,1985,15,64,1.67,28.6,21.02,56.31,25.31,13.41,9.26,10.37,6.706,3.211,0.454,2115,Advanced Economies
,1990,15,64,1.7,23.3,17.24,57.42,26.72,17.58,12.16,10.641,6.602,3.445,0.595,2156,Advanced Economies
,1995,15,64,4.07,18.33,14.06,54.79,26.85,22.81,15.88,10.798,6.457,3.567,0.774,2320,Advanced Economies
,2000,15,64,4.16,14.67,11.51,55.18,29.1,25.99,18.04,11.034,6.431,3.722,0.881,2553,Advanced Economies
,2005,15,64,0.63,11.99,9.5,55.4,31.87,31.98,22.18,11.797,6.684,4.03,1.083,2859,Advanced Economies
,2010,15,64,0.61,11.18,9.03,44.54,26.77,43.67,30.2,12.45,6.836,4.137,1.477,3027,Advanced Economies
,2015,15,64,0.37,9.34,7.69,51.29,32.17,39,26.9,12.436,6.985,4.132,1.318,3038,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Italy,1950,15,64,11.56,75.8,47.27,11.41,4.21,1.2,0.77,4.396,3.708,0.649,0.04,30817,Advanced Economies
,1955,15,64,9.89,73.95,47.7,14.49,4.8,1.67,1,4.711,3.85,0.808,0.053,32230,Advanced Economies
,1960,15,64,7.79,72.29,49.06,18.14,5.94,1.79,1.16,5.073,4.03,0.984,0.059,33092,Advanced Economies
,1965,15,64,5.87,70.03,49.07,21.85,6.69,2.25,1.35,5.425,4.183,1.171,0.072,34255,Advanced Economies
,1970,15,64,4.09,66.04,48.27,27.53,8.68,2.31,1.49,5.87,4.35,1.444,0.076,34735,Advanced Economies
,1975,15,64,4.94,56.63,44.38,34.96,11.28,3.52,2.05,6.455,4.449,1.894,0.111,35326,Advanced Economies
,1980,15,64,5.31,45.62,37.67,45.4,15.56,3.67,2.39,7.091,4.536,2.434,0.121,36445,Advanced Economies
,1985,15,64,5.92,38.05,32.71,51.14,19.44,4.92,2.98,7.63,4.572,2.9,0.158,38303,Advanced Economies
,1990,15,64,4.83,30.77,26.8,57.83,23.48,6.69,3.96,8.323,4.665,3.444,0.213,39029,Advanced Economies
,1995,15,64,3.84,23.22,19.9,64.49,28.38,8.54,5.15,9.04,4.729,4.037,0.274,39211,Advanced Economies
,2000,15,64,2.61,16.61,14.61,71.48,34.34,9.26,6.01,9.726,4.818,4.602,0.306,38943,Advanced Economies
,2005,15,64,2,13.12,11.88,74.22,37.94,10.66,6.94,10.198,4.869,4.976,0.352,38348,Advanced Economies
,2010,15,64,1.51,8.95,8.44,76.66,40.89,12.87,8.43,10.711,4.911,5.374,0.426,37921,Advanced Economies
,2015,15,64,1,5.85,5.7,77.64,39.98,15.5,10.15,11.027,4.946,5.568,0.513,38972,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Japan,1950,15,64,3.46,58.7,36.91,33.15,21.06,4.68,2.01,6.862,5.138,1.59,0.134,49847,Advanced Economies
,1955,15,64,2.12,53.74,34.24,38.6,24.82,5.54,2.56,7.401,5.288,1.952,0.162,54908,Advanced Economies
,1960,15,64,1.1,50.67,32.5,42.1,27.4,6.1,3.01,7.771,5.387,2.202,0.182,60273,Advanced Economies
,1965,15,64,0.82,50.06,33.86,43.48,22.83,5.64,3,7.796,5.465,2.159,0.173,67056,Advanced Economies
,1970,15,64,0.27,47.17,33.01,44.35,24.9,8.19,4.11,8.249,5.558,2.444,0.246,71888,Advanced Economies
,1975,15,64,0.23,40.87,28.93,46.54,27.28,12.36,6.65,8.849,5.628,2.841,0.38,75625,Advanced Economies
,1980,15,64,0.24,33.69,24.2,48.81,33.16,17.26,8.81,9.595,5.701,3.373,0.521,78735,Advanced Economies
,1985,15,64,0.22,28,20.37,51.39,35.1,20.38,11.92,10.121,5.757,3.718,0.646,82390,Advanced Economies
,1990,15,64,0.11,22.33,16.46,53.39,38.08,24.14,14.24,10.709,5.816,4.125,0.768,85998,Advanced Economies
,1995,15,64,0.13,17.04,12.96,54.86,40.56,27.98,16.36,11.26,5.87,4.503,0.887,87189,Advanced Economies
,2000,15,64,0.13,12.96,9.97,54.87,42.31,32.04,19.24,11.766,5.902,4.838,1.026,86574,Advanced Economies
,2005,15,64,0.13,10.19,7.94,54.08,42.98,35.6,22,12.124,5.925,5.048,1.152,84888,Advanced Economies
,2010,15,64,0.14,7.7,6.06,54.04,44.76,38.12,24.38,12.443,5.942,5.251,1.25,81957,Advanced Economies
,2015,15,64,0.13,5.68,4.53,48.13,40.69,46.06,25.98,12.826,5.958,5.428,1.441,78059,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luxembourg,1950,15,64,44.12,38.8,25.25,15.1,6.3,1.99,1.1,3.853,2.947,0.845,0.062,208,Advanced Economies
,1955,15,64,34.71,43.69,28.68,18.88,8.4,2.73,1.55,4.647,3.468,1.094,0.086,213,Advanced Economies
,1960,15,64,28.91,46.19,30.25,21,10.15,3.9,2.2,5.217,3.787,1.309,0.122,213,Advanced Economies
,1965,15,64,19.19,49.57,33.97,26.06,12.45,5.18,3.01,6.186,4.381,1.642,0.164,220,Advanced Economies
,1970,15,64,8.59,53.05,37.76,31.56,15.24,6.8,3.97,7.274,5.026,2.032,0.215,222,Advanced Economies
,1975,15,64,1.33,52.69,38,37.32,18.23,8.66,5.15,8.21,5.479,2.455,0.276,236,Advanced Economies
,1980,15,64,2.39,47.16,34.85,40.59,20.93,9.86,5.94,8.548,5.487,2.745,0.316,245,Advanced Economies
,1985,15,64,3.68,41.65,31.21,43.77,23.34,10.9,6.6,8.827,5.466,3.01,0.35,255,Advanced Economies
,1990,15,64,4.35,36.24,27.58,46.45,26.18,12.96,7.78,9.242,5.479,3.348,0.415,265,Advanced Economies
,1995,15,64,5.55,31.21,24.66,47.95,27.5,15.29,9.28,9.571,5.471,3.609,0.491,276,Advanced Economies
,2000,15,64,6.66,24.76,19.66,52.17,30.45,16.41,10.48,9.918,5.448,3.932,0.538,293,Advanced Economies
,2005,15,64,6.15,20.28,16.3,50.66,30.32,22.9,14.42,10.592,5.51,4.335,0.746,313,Advanced Economies
,2010,15,64,5.35,15.92,12.89,48.39,29.05,30.34,19.97,11.332,5.588,4.738,1.006,335,Advanced Economies
,2015,15,64,0.65,13.24,10.76,54.95,30.04,31.19,20.47,11.956,5.889,5.034,1.033,395,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Netherlands,1950,15,64,1.99,87.83,81.54,9.03,2.45,1.15,0.7,6.142,5.692,0.413,0.037,6367,Advanced Economies
,1955,15,64,1.67,86.17,78.66,10.96,2.79,1.21,0.73,6.199,5.675,0.485,0.039,6635,Advanced Economies
,1960,15,64,1.29,84.72,76.5,12.87,3.03,1.1,0.71,6.254,5.675,0.543,0.036,7004,Advanced Economies
,1965,15,64,1.81,56.44,52.29,37.37,6.73,4.38,2.52,7.491,5.767,1.586,0.138,7643,Advanced Economies
,1970,15,64,1.63,32.55,30.11,59.65,10.03,6.1,3.82,8.48,5.825,2.457,0.198,8155,Advanced Economies
,1975,15,64,1.59,26.22,23.63,63.23,24.44,8.97,5.16,9.278,5.827,3.168,0.283,8730,Advanced Economies
,1980,15,64,1.54,20.79,18.62,65.88,32.22,11.79,6.8,9.865,5.843,3.651,0.372,9361,Advanced Economies
