Country,Year,Age Group,,No Schooling,Primary Total,Primary Completed,Secondary Total,Secondary Completed,Tertiary Total,Tertiary Completed,Avg. Years of Total Schooling,Avg. Years of Primary Schooling,Avg. Years of Secondary Schooling,Avg. Years of Tertiary Schooling,"Population
(1000s)",Region
,1980,15,64,0.97,15.71,6.81,53.01,20.72,30.31,21.37,10.739,5.675,4.03,1.033,8358,Advanced Economies
,1985,15,64,0.58,12.97,5.51,64.97,26.57,21.48,10.82,10.422,5.741,4.035,0.646,8891,Advanced Economies
,1990,15,64,0.5,9.86,4.14,66.35,28.09,23.29,12.42,10.744,5.799,4.231,0.714,9488,Advanced Economies
,1995,15,64,0.52,7.76,3.23,65.29,30.38,26.43,14.14,11.1,5.833,4.456,0.811,9961,Advanced Economies
,2000,15,64,0.47,5.58,2.34,66.14,31.53,27.81,15.86,11.347,5.875,4.599,0.873,10535,Advanced Economies
,2005,15,64,0.57,3.06,1.26,56.84,36.8,39.53,23.11,12.346,5.912,5.181,1.253,11241,Advanced Economies
,2010,15,64,0.54,2.21,0.97,55.24,37.8,42.01,24.38,12.57,5.93,5.312,1.328,11832,Advanced Economies
,2015,15,64,0.44,1.78,0.81,55.4,38.87,42.38,24.65,12.656,5.944,5.371,1.341,12282,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Denmark,1950,15,64,1.69,56.26,34.65,37.86,14.79,4.18,3.91,5.913,3.5,2.251,0.162,1361,Advanced Economies
,1955,15,64,2.39,67.55,42.23,23.49,8.85,6.58,6.21,5.319,3.398,1.665,0.256,1396,Advanced Economies
,1960,15,64,2.37,57.71,35.59,32.36,11.68,7.57,7.07,5.93,3.463,2.174,0.293,1456,Advanced Economies
,1965,15,64,2.29,50.54,33.21,36.91,15.21,10.26,8.9,6.597,3.562,2.651,0.383,1537,Advanced Economies
,1970,15,64,1.55,40.75,28.02,43.71,20.16,14,11.83,7.783,4.041,3.225,0.517,1593,Advanced Economies
,1975,15,64,2.11,31.6,21.92,52.04,24.89,14.22,13.3,8.55,4.401,3.599,0.55,1628,Advanced Economies
,1980,15,64,2.39,23.76,16.77,58.27,29.21,15.56,14.71,9.342,4.777,3.96,0.605,1672,Advanced Economies
,1985,15,64,2.47,18.35,13.11,60.36,31.52,18.82,17.75,10.092,5.124,4.237,0.731,1715,Advanced Economies
,1990,15,64,0.12,11.86,8.62,70.44,39.65,17.51,11.76,10.751,5.486,4.68,0.585,1753,Advanced Economies
,1995,15,64,0.12,7.7,5.74,72.89,42.87,19.28,12.88,11.236,5.681,4.912,0.643,1784,Advanced Economies
,2000,15,64,1.14,3.88,2.92,72.46,43.97,22.52,14.28,11.614,5.795,5.083,0.736,1801,Advanced Economies
,2005,15,64,2.03,1.67,1.26,71.12,42.81,25.18,16.39,11.846,5.907,5.108,0.831,1818,Advanced Economies
,2010,15,64,2.49,0.76,0.58,72.06,42.67,24.71,16.78,11.914,6.066,5.017,0.83,1826,Advanced Economies
,2015,15,64,1.58,0.16,0.13,67.69,40.24,30.56,20.72,12.5,6.403,5.071,1.026,1839,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Finland,1950,15,64,1.87,90.17,56.47,4.51,1.1,3.45,2.25,3.866,3.251,0.501,0.114,1203,Advanced Economies
,1955,15,64,1.34,88.7,56.82,5,1.24,4.83,3.11,4.097,3.303,0.636,0.159,1259,Advanced Economies
,1960,15,64,0.88,87.15,55.71,6.07,1.48,6.03,3.82,4.322,3.341,0.784,0.197,1327,Advanced Economies
,1965,15,64,1.05,76.6,52.54,15.98,4.59,6.37,3.79,5.013,3.477,1.333,0.203,1439,Advanced Economies
,1970,15,64,1.85,64.84,46.94,24.92,7.34,8.46,4.63,6.026,3.827,1.937,0.262,1490,Advanced Economies
,1975,15,64,1.49,56.06,41.35,31.46,20.17,10.99,6.57,7.222,4.152,2.718,0.351,1564,Advanced Economies
,1980,15,64,1.16,47.93,36.14,38.17,29.34,12.72,7.75,8.154,4.433,3.312,0.409,1610,Advanced Economies
,1985,15,64,0.81,47.82,36.6,37.62,23.63,13.7,8.51,8.134,4.639,3.051,0.444,1673,Advanced Economies
,1990,15,64,0.1,43.39,33.78,41.02,24.7,15.49,9.36,8.621,4.87,3.254,0.497,1691,Advanced Economies
,1995,15,64,0.16,38.91,31.41,39.95,24.23,20.98,11.69,9.235,5.089,3.492,0.653,1723,Advanced Economies
,2000,15,64,0.18,34.47,28.2,42.42,26.8,22.93,12.82,9.71,5.277,3.718,0.715,1751,Advanced Economies
,2005,15,64,0.16,29.83,24.7,45.63,30.32,24.38,13.16,10.162,5.464,3.947,0.751,1776,Advanced Economies
,2010,15,64,0.14,27.1,22.67,47.79,32.28,24.96,12.81,10.428,5.646,4.027,0.755,1793,Advanced Economies
,2015,15,64,0.31,21.91,18.55,47.92,34.08,29.85,13.97,11.008,5.88,4.251,0.876,1759,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
France,1950,15,64,0.58,88.62,54.27,8.04,2.38,2.77,1.97,4.793,4.112,0.586,0.095,13401,Advanced Economies
,1955,15,64,0.5,87.05,53.94,9.27,2.48,3.17,2.17,4.922,4.147,0.668,0.107,13640,Advanced Economies
,1960,15,64,0.44,88.9,36.08,7.16,2.83,3.63,2.35,4.409,3.664,0.625,0.12,14058,Advanced Economies
,1965,15,64,1.36,82.03,38.89,11.36,4.26,5.25,3.02,4.969,3.854,0.95,0.165,15173,Advanced Economies
,1970,15,64,1.14,73.34,38.51,17.95,5.89,7.57,4.09,5.73,4.072,1.424,0.233,15876,Advanced Economies
,1975,15,64,1.03,64.06,29.44,25.71,7.72,9.2,5,6.271,4.083,1.904,0.284,16609,Advanced Economies
,1980,15,64,0.79,58.93,23.74,31.21,10.05,8.98,5.26,6.539,4.076,2.178,0.285,17268,Advanced Economies
,1985,15,64,4.87,43.99,22.23,39.84,20.64,11.3,5.99,7.562,4.213,3.004,0.346,18192,Advanced Economies
,1990,15,64,5.51,33.51,19.75,47.19,28.34,13.79,7.1,8.502,4.381,3.703,0.418,18628,Advanced Economies
,1995,15,64,3.07,25.95,17.66,54.56,34.72,16.42,8.2,9.505,4.639,4.373,0.492,18903,Advanced Economies
,2000,15,64,1.6,18.51,14.13,60.49,39.24,19.41,9.64,10.347,4.811,4.955,0.581,19256,Advanced Economies
,2005,15,64,1.18,10.69,9.01,67.62,42.81,20.52,10.65,10.948,4.899,5.425,0.623,19706,Advanced Economies
,2010,15,64,1.18,7.71,7.03,66.46,44.19,24.65,12.67,11.38,4.924,5.71,0.746,20003,Advanced Economies
,2015,15,64,1.25,22.98,19.31,46.67,19.17,29.11,15,10.208,4.846,4.479,0.882,20002,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Germany,1950,15,64,6.18,66.55,40.9,22.94,8.27,4.32,3.38,7.43,6.479,0.797,0.154,20467,Advanced Economies
,1955,15,64,3.58,67.93,42.88,24.18,9.65,4.32,3.29,7.713,6.712,0.849,0.152,21754,Advanced Economies
,1960,15,64,3.7,68.04,42.88,23.81,11.19,4.45,3.33,7.73,6.697,0.878,0.155,22560,Advanced Economies
,1965,15,64,3.86,69.15,46.74,22.5,12.6,4.5,3.34,7.635,6.501,0.978,0.157,23171,Advanced Economies
,1970,15,64,7.11,68.22,49.08,20.75,12.71,3.96,3.07,7.17,6.072,0.958,0.141,23508,Advanced Economies
,1975,15,64,6.25,68.3,50.05,17.64,12.07,7.81,5.87,7.315,5.7,1.341,0.274,24287,Advanced Economies
,1980,15,64,6.77,63.12,47.37,20.6,14.54,9.53,7.16,7.447,5.325,1.788,0.334,25478,Advanced Economies
,1985,15,64,5.44,57.99,44.18,24.99,18.09,11.55,8.35,7.846,5.103,2.346,0.398,26845,Advanced Economies
,1990,15,64,4.86,41.41,32.15,36.64,28.46,17.08,10.97,9.172,4.931,3.68,0.561,27749,Advanced Economies
,1995,15,64,4.85,27.78,22.46,46.71,37.33,20.66,13.59,10.244,4.689,4.87,0.685,28406,Advanced Economies
,2000,15,64,3.79,19.97,16.98,53.54,44.23,22.71,15.52,11.04,4.481,5.794,0.764,28432,Advanced Economies
,2005,15,64,3.37,6.03,5.32,68.36,52.69,22.24,15.27,12.159,4.189,7.22,0.75,28038,Advanced Economies
,2010,15,64,1.6,4.51,4.04,69.06,55,24.84,16.98,12.724,3.927,7.961,0.836,27671,Advanced Economies
,2015,15,64,2.28,6.8,6,69.14,53.51,21.79,15.42,12.352,3.893,7.714,0.744,27129,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Greece,1950,15,64,11.2,64.12,22.66,22.03,11.55,2.68,2.57,5.359,4.086,1.168,0.105,2348,Advanced Economies
,1955,15,64,7.18,52.96,22.88,37.14,20.28,2.72,2.3,6.653,4.667,1.886,0.1,2547,Advanced Economies
,1960,15,64,2.34,30.16,14.93,64.09,36.02,3.42,3.21,8.744,5.403,3.208,0.133,2638,Advanced Economies
,1965,15,64,5.49,49.42,28.67,40.73,22.77,4.36,3.15,7.364,5.048,2.166,0.15,2710,Advanced Economies
,1970,15,64,5.64,51.05,35.22,36.39,20.5,6.92,4.57,7.538,5.187,2.122,0.23,2742,Advanced Economies
,1975,15,64,3.7,53.2,41,33.3,18.52,9.79,6.59,7.882,5.412,2.142,0.328,2826,Advanced Economies
,1980,15,64,2.47,53.88,44.95,30.93,16.57,12.68,8.96,8.2,5.582,2.186,0.433,3034,Advanced Economies
,1985,15,64,2.87,45.58,38.65,37.62,27.54,13.94,11.27,8.915,5.62,2.791,0.504,3214,Advanced Economies
,1990,15,64,2.64,37.75,32.51,44.12,39.96,15.48,14.31,9.732,5.684,3.451,0.596,3391,Advanced Economies
,1995,15,64,3.9,30.09,27.29,48.83,33.63,17.17,15.85,9.847,5.682,3.504,0.661,3623,Advanced Economies
,2000,15,64,3.44,26.04,24.52,54.03,36.31,16.48,15.1,10.078,5.748,3.699,0.632,3741,Advanced Economies
,2005,15,64,0.51,22.53,21.84,52,34.8,24.96,22.95,11.008,5.948,4.101,0.958,3788,Advanced Economies
,2010,15,64,0.75,19.49,18.94,51.33,35.05,28.41,26.19,11.326,5.938,4.296,1.092,3844,Advanced Economies
,2015,15,64,0.81,17.09,16.53,57.89,33.72,24.2,22.32,11.065,5.934,4.2,0.93,3447,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Iceland,1950,15,64,1.04,84.64,52.99,9.64,3.94,4.69,3.18,5.92,4.988,0.775,0.157,44,Advanced Economies
,1955,15,64,0.93,83.64,53.44,10.16,4.54,5.28,3.56,6.071,5.038,0.856,0.177,48,Advanced Economies
,1960,15,64,0.8,79.85,50.88,13.34,5.99,5.99,4.11,6.343,5.082,1.059,0.202,51,Advanced Economies
,1965,15,64,0.64,74.36,50.55,18.16,6.01,6.83,4.54,6.738,5.247,1.264,0.228,56,Advanced Economies
,1970,15,64,0.77,67.88,49.07,22.53,8.82,8.81,5.57,7.323,5.389,1.646,0.288,58,Advanced Economies
,1975,15,64,1.56,61.75,45.38,26.01,10.68,10.67,6.5,7.713,5.415,1.954,0.343,68,Advanced Economies
,1980,15,64,1.68,55.96,42.14,29.48,12.21,12.87,7.96,8.175,5.484,2.274,0.417,74,Advanced Economies
,1985,15,64,1.65,49.82,38.16,33.42,14.5,15.11,9.43,8.682,5.551,2.64,0.491,77,Advanced Economies
,1990,15,64,1.58,44.57,34.55,36.91,15.78,16.94,10.32,9.074,5.605,2.924,0.545,85,Advanced Economies
,1995,15,64,1.64,39.34,31.46,38.84,16.74,20.17,12.5,9.565,5.665,3.247,0.653,88,Advanced Economies
,2000,15,64,1.95,37.61,30.43,42.09,17.9,18.35,12.32,9.545,5.668,3.264,0.614,91,Advanced Economies
,2005,15,64,2.31,38.19,31.53,37.74,17.73,21.75,14.98,9.76,5.661,3.364,0.735,100,Advanced Economies
,2010,15,64,3.15,41.86,34.84,35.67,16.29,19.32,13.37,9.439,5.711,3.074,0.654,105,Advanced Economies
,2015,15,64,3.65,43.36,36.48,33.8,18.65,19.19,13.41,9.53,5.775,3.103,0.652,112,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ireland,1950,15,64,5.28,72.11,45,18.58,8.38,4.03,2.65,6.228,4.869,1.225,0.134,918,Advanced Economies
,1955,15,64,4.64,68.96,43.76,21.92,9.92,4.48,2.96,6.542,4.966,1.428,0.149,874,Advanced Economies
,1960,15,64,4.05,65.92,41.68,25.2,11.37,4.84,3.21,6.81,5.03,1.619,0.161,823,Advanced Economies
,1965,15,64,3.5,61.13,41.23,30.46,13.66,4.82,3.2,7.23,5.188,1.882,0.16,838,Advanced Economies
,1970,15,64,3.86,54.41,38.53,35.5,15.91,6.28,4.24,7.939,5.562,2.166,0.211,862,Advanced Economies
,1975,15,64,3.96,45.75,33.06,41.85,18.65,8.43,5.72,8.674,5.916,2.475,0.283,927,Advanced Economies
,1980,15,64,1.75,38.79,28.81,48.76,21.87,10.72,7.29,9.596,6.407,2.829,0.36,1013,Advanced Economies
,1985,15,64,1.56,30.79,23,53.93,23.76,13.72,9.35,10.285,6.71,3.114,0.461,1072,Advanced Economies
,1990,15,64,1.78,24.84,18.61,56.03,25.37,17.36,11.83,10.529,6.59,3.355,0.584,1091,Advanced Economies
,1995,15,64,4.84,19.28,14.86,54.08,25.86,21.8,14.91,10.601,6.394,3.472,0.734,1164,Advanced Economies
,2000,15,64,4.5,16.1,12.73,55.29,28.58,24.2,16.55,10.84,6.399,3.626,0.815,1281,Advanced Economies
,2005,15,64,0.71,13.17,10.5,57.46,32.06,28.66,19.57,11.561,6.67,3.927,0.965,1436,Advanced Economies
,2010,15,64,0.67,12.27,9.94,45.91,26.47,41.15,28.02,12.252,6.827,4.042,1.383,1520,Advanced Economies
,2015,15,64,0.4,10.51,8.72,54.07,32.95,35.02,23.74,12.196,6.989,4.032,1.175,1503,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Italy,1950,15,64,9.22,75.35,49.74,13.44,4.89,1.95,1.54,4.77,3.897,0.804,0.07,14853,Advanced Economies
,1955,15,64,7.88,72.81,49.89,16.72,5.42,2.59,1.87,5.102,4.033,0.98,0.089,15729,Advanced Economies
,1960,15,64,6.19,70.37,50.22,20.81,6.62,2.71,2.09,5.459,4.191,1.172,0.096,16236,Advanced Economies
,1965,15,64,4.62,67.42,49.61,24.76,7.42,3.2,2.28,5.803,4.324,1.37,0.11,16865,Advanced Economies
,1970,15,64,3.16,62.56,47.96,31.01,9.55,3.16,2.39,6.243,4.471,1.661,0.111,17110,Advanced Economies
,1975,15,64,3.85,52.88,42.92,38.86,12.27,4.44,2.98,6.845,4.561,2.135,0.148,17407,Advanced Economies
,1980,15,64,4.16,41.99,35.68,49.38,16.21,4.48,3.35,7.441,4.634,2.65,0.156,17975,Advanced Economies
,1985,15,64,4.66,35.08,30.92,54.81,20.17,5.46,3.69,7.937,4.664,3.09,0.183,18915,Advanced Economies
,1990,15,64,3.74,28.46,25.36,61,23.93,6.86,4.31,8.54,4.74,3.576,0.224,19386,Advanced Economies
,1995,15,64,2.99,20.83,18.27,67.97,28.67,8.29,5.26,9.197,4.791,4.136,0.271,19515,Advanced Economies
,2000,15,64,2.07,14.36,12.79,74.68,34.17,8.84,5.97,9.806,4.855,4.656,0.296,19438,Advanced Economies
,2005,15,64,1.58,10.97,10.02,77.38,37.95,10.08,6.76,10.26,4.898,5.025,0.337,19193,Advanced Economies
,2010,15,64,1.33,7.47,7.08,79.7,41,11.48,7.71,10.666,4.923,5.359,0.384,19022,Advanced Economies
,2015,15,64,0.94,4.9,4.78,80.79,40.4,13.38,9.12,10.914,4.95,5.514,0.45,19397,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Japan,1950,15,64,2.05,55.18,34.04,34.9,32.61,7.87,5.67,7.595,5.243,2.081,0.271,24214,Advanced Economies
,1955,15,64,1.24,50.44,31.79,39.14,35.54,9.18,7.06,8.133,5.366,2.442,0.325,26729,Advanced Economies
,1960,15,64,0.86,47.62,30,41.3,35.63,10.17,8.47,8.401,5.417,2.611,0.373,29364,Advanced Economies
,1965,15,64,0.88,47.15,31.78,42.19,25.3,9.77,8.25,8.261,5.486,2.415,0.361,32758,Advanced Economies
,1970,15,64,0.22,45.06,32.01,42.28,24.24,12.39,9.61,8.633,5.593,2.6,0.44,35153,Advanced Economies
,1975,15,64,0.17,39.17,28.3,43.8,25.68,16.87,13.83,9.248,5.664,2.971,0.614,37180,Advanced Economies
,1980,15,64,0.23,32.48,23.77,45.66,31.87,21.63,16.74,9.976,5.725,3.484,0.767,38890,Advanced Economies
,1985,15,64,0.27,27.1,20.03,48.43,32.49,24.2,15.54,10.331,5.772,3.765,0.795,40977,Advanced Economies
,1990,15,64,0.11,22.09,16.55,50.55,35.59,27.32,16.9,10.868,5.831,4.152,0.884,43040,Advanced Economies
,1995,15,64,0.13,17.3,13.38,52.56,38.29,30.01,18.26,11.327,5.875,4.487,0.965,43764,Advanced Economies
,2000,15,64,0.13,13.63,10.63,53.28,40.46,32.96,20.42,11.76,5.902,4.79,1.068,43521,Advanced Economies
,2005,15,64,0.13,11.14,8.79,53.06,41.48,35.68,22.53,12.063,5.922,4.977,1.164,42730,Advanced Economies
,2010,15,64,0.13,8.9,7.07,53.73,43.81,37.23,24.27,12.327,5.937,5.16,1.23,41319,Advanced Economies
,2015,15,64,0.19,10.83,8.62,43.41,36.36,45.57,33.54,12.633,5.923,5.128,1.582,39610,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luxembourg,1950,15,64,44.82,33.17,21.53,18.96,8.87,3.05,1.98,4.199,2.962,1.137,0.101,104,Advanced Economies
,1955,15,64,34.58,38.08,25.02,23.16,11.62,4.18,2.73,5.123,3.533,1.452,0.138,107,Advanced Economies
,1960,15,64,29,40.38,26.2,24.83,13.73,5.8,3.78,5.726,3.835,1.7,0.191,106,Advanced Economies
,1965,15,64,19.34,43.45,29.78,29.76,16.18,7.45,4.93,6.739,4.43,2.062,0.248,112,Advanced Economies
,1970,15,64,8.11,46.84,33.88,35.52,19.35,9.53,6.39,7.949,5.124,2.506,0.318,110,Advanced Economies
,1975,15,64,1.36,46.85,34.47,40.34,21.94,11.45,7.71,8.819,5.547,2.889,0.383,120,Advanced Economies
,1980,15,64,2.64,41.9,31.61,42.83,24.42,12.62,8.69,9.104,5.533,3.145,0.426,122,Advanced Economies
,1985,15,64,4.22,36.26,27.72,45.89,26.74,13.63,9.11,9.346,5.491,3.4,0.455,126,Advanced Economies
,1990,15,64,4.82,32.36,25.11,47.64,28.74,15.18,9.56,9.63,5.493,3.641,0.495,135,Advanced Economies
,1995,15,64,5.96,28.17,22.61,48.66,29.76,17.21,10.88,9.892,5.476,3.855,0.562,140,Advanced Economies
,2000,15,64,6.7,22.99,18.58,52.43,32.12,17.87,11.85,10.169,5.466,4.109,0.594,147,Advanced Economies
,2005,15,64,5.77,18.96,15.41,50.31,31.23,24.93,16.15,10.871,5.546,4.504,0.822,157,Advanced Economies
,2010,15,64,5.15,13.81,11.22,47.8,29.01,33.25,22.37,11.647,5.614,4.921,1.112,167,Advanced Economies
,2015,15,64,0.69,12.86,10.5,55.09,29.55,31.36,21.53,11.976,5.888,5.03,1.058,200,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Netherlands,1950,15,64,2.16,85.65,78.56,10.19,3.3,2,1.46,6.251,5.657,0.524,0.069,3148,Advanced Economies
,1955,15,64,1.76,83.44,73.83,12.71,3.78,2.09,1.51,6.298,5.606,0.62,0.072,3278,Advanced Economies
,1960,15,64,1.34,83.06,71.62,13.86,3.92,1.89,1.46,6.296,5.583,0.646,0.067,3469,Advanced Economies
,1965,15,64,1.84,53.01,47.77,39.15,7.26,6,4.04,7.685,5.732,1.752,0.201,3818,Advanced Economies
,1970,15,64,1.68,28.67,25.72,61.6,9.74,7.91,5.78,8.691,5.803,2.615,0.274,4103,Advanced Economies
,1975,15,64,1.56,23.2,20.48,64.14,27.56,11.09,7.33,9.61,5.825,3.417,0.368,4409,Advanced Economies
,1980,15,64,1.42,18.14,15.89,66.46,35.61,13.98,9.23,10.213,5.848,3.901,0.464,4734,Advanced Economies
